"Text","Author","Likes"
"First and W Erik for keeping me and all of us motivated","@qasimraza5750","10"
"My goat erik! You''ve helping me push me through my comp eng journey and motivating to not give up even in the world of ai,  i truly do appreciate you! I''m on track on building a calorie tracking app  thanks again!","@nayef62","4"
"I am going to make app for my college where everyone will get connected together (from different stream or different classes, including teachers) because my college has its own app but it sucks at everything. Thanks Bro","@MindForgeXofficial","4"
"I''ve been following you for a while now, to be honest I''ve almost given up on programming after 3 years of coding without getting hired or an internship but just simply watching you, your journey and all that keeps me motivated. thanks man. from Nigeria","@magacod","1"
"step 1: be an youtuber so anything you do already has free marketing. good ideas overall, the pain is just breaking that 0 costumers wall.","@frytura","1"
"Hello erik , i think the key point and the hard part is getting ur app advertised to users. Your youtube channel is the biggest asset .","@MahdiJellali-b4t","1"
"Yo Erik, Iâ€™ve gotta say Iâ€™m a huge fan. Thanks for the awesome guideâ€”seriously, itâ€™s the best one on YouTube so far. Also about Warp: Iâ€™ve been building multiple projects using Cursor lately, and in my opinion itâ€™s the best option for large-scale projects because of the AI integration. Anyway, just wanted to say thanks for the constant content. Keep it up!","@ZolosMarejg-fq1lm",""
"Im a QA software engineer that does not know how to develop a web or mobile app. I got an idea to build a calisthenics web app and test it along the way as a tester, something that would help me with my progression in calisthenics. As a person that likes to be active in the gym and wants to learn calisthenics on the way i thought this would be a cool project to build both helping me with my progression with calisthenics and learn how to develop something. Yes there are a lot of things out there already regarding this but I want to shoot my shot. Was wondering if you would have any tips for me. Appreciate your content!","@KonuralpCabuk","6"
"Erik is genuinely a inspiration bro makes me realize I can be doing more","@hugoperez3002",""
"What watch are you using, i love it, anyway nice video!","@rubenarce5514","1"
"That''s helped me a lot, very thankful","@astroff6431",""
"bruh..your videos are amazing.I want some kinda tips for switching to high paying jobs based on the preparation for an experienced one in development side.","@mr.thugist9564",""
"I''ve been doing FSO for more than 4 months now, it''s a heavy course. How long did it take you to go from learning JS to shipping an actual app?","@birthdaygal","1"
"Always remember building about an app is not about making money, is about solving problems never forget. P.s am not rich i live in Nigeria but building apps just to make money  thay shouldn''t be your priority. N.B solve problems, money will come.","@hidden3-n2x","1"
"hey man been watching you for a while now and i like your content, what would you sugest for me ? i am currently learning html in odin project, should i do the javascript part after css, or learn from the video you sugested instead ? have you done the odin project yourself ?","@VoonV",""
"Great video for motivation. Do you happen to know if TypeScript is similar to JavaScript? Thanks","@agentxstudiosofficial","1"
"i am coocked cuz of my graduation project and was kinda stuck which tech stack to use, now i think its clear and i have 5~7 months till june and hand over my project/thesis defense so wish me good luck","@barhoomz",""
"w video I was surprised you didn''t mention cursor as ai tool but I think they all do the same thing","@EliosGameover",""
"I love Gamma cuz it creates wonderful presentations.","@odxed",""
"Hey erik, how should I get started? I just know c and java basics. I am currently in my 1st yr cse core degree","@Lumina-HD","1"
"Thank you for the video! I just did CS50P-an introductory course on python and Iâ€™m not sure what to do next. Iâ€™m not sure what I wanna do so I wanna exploreâ€¦and take on a skill/path I find interesting and can generate income. Any advice?","@Study-mations",""
"I''m thinking of creating a sales app for my country. ðŸ‡¦ðŸ‡´","@FUTBALL-x1g","1"
"All what you are saying is right but you already have a good community and followers to market and sell yours apps and product. I would say first build a community on social media post post and post â€¦","@AI-RESEARCH-TECH-z1j",""
"Should I learn three js ? Going into 2026?","@RezaeiArshad",""
"should make a course on Javascript and NextJS","@TurboTrend12",""
"yo whats your keyboard?","@JonyP1234",""
"Yup that all it takes","@neilpatel2365",""
"do you code everything in your app yourself from scratch or you take help from ai ? and seeing today market what should i learn web devlopment or mobile application development please give your opinion","@Victus-g6f",""
"hey what about flutter should i learn that coz i don''t have mac to go with react native","@HistoryNaps",""
"Hi bro Iâ€™m a beginner. Do I only need to learn JavaScript or html and css as well. Thanks","@KryzeVal",""
"Best video","@nitinnegi455",""
"Is resumax logic based on the openai api","@brunx9670",""
"btw do u have other AI assistance cuz claude doesn''t work in my region","@barhoomz",""
"BRO, I''m building my AI conversation skill app, but I''m having trouble connecting the payment webhook with the app can you solve that.","@ur_rar",""
"NGMI","@darthvader4899",""
"W vid","@K-k573",""
"Im building a app that helps with ordering system for business for my country   They can add their products, generate a website, and receive all orders directly on WhatsApp. It also has automation, like auto-replies, price estimates, and order tracking. Itâ€™s built for spaza shops, food sellers, and small stores who want to take orders fast without expensive e-commerce sites.","@Itz_sufiX","1"